,team_abbrv,team_name,box_score_data,box_score_id,season,home_team,home_team_innings_data,home_team_other_data,away_team,away_team_innings_data,away_team_other_data,team_side,result,blown_leads
0,nan_2012,,,,,,,,,,,,,
0,nan_2012,,,,,,,,,,,,,
0,BOS_2012,Boston Red Sox,"{'home_team': {'team_name': 'Detroit Tigers', 'inning_data': {'1': '0', '2': '0', '3': '0', '4': '0', '5': '0', '6': '0', '7': '1', '8': '1', '9': '1'}, 'other_box_score_data': {'runs': '3', 'hits': '10', 'errors': '1'}}, 'away_team': {'team_name': 'Boston Red Sox', 'inning_data': {'1': '0', '2': '0', '3': '0', '4': '0', '5': '0', '6': '0', '7': '0', '8': '0', '9': '2'}, 'other_box_score_data': {'runs': '2', 'hits': '5', 'errors': '0'}}}",BOS20120405,2012,Detroit Tigers,"['0', '0', '0', '0', '0', '0', '1', '1', '1']","{'runs': '3', 'hits': '10', 'errors': '1'}",Boston Red Sox,"['0', '0', '0', '0', '0', '0', '0', '0', '2']","{'runs': '2', 'hits': '5', 'errors': '0'}",away,0.0,0.0
0,BOS_2012,Boston Red Sox,"{'home_team': {'team_name': 'Detroit Tigers', 'inning_data': {'1': '2', '2': '0', '3': '0', '4': '3', '5': '2', '6': '1', '7': '2', '8': '0', '9': 'X'}, 'other_box_score_data': {'runs': '10', 'hits': '12', 'errors': '0'}}, 'away_team': {'team_name': 'Boston Red Sox', 'inning_data': {'1': '0', '2': '0', '3': '0', '4': '0', '5': '0', '6': '0', '7': '0', '8': '0', '9': '0'}, 'other_box_score_data': {'runs': '0', 'hits': '7', 'errors': '2'}}}",BOS20120407,2012,Detroit Tigers,"['2', '0', '0', '3', '2', '1', '2', '0', 'X']","{'runs': '10', 'hits': '12', 'errors': '0'}",Boston Red Sox,"['0', '0', '0', '0', '0', '0', '0', '0', '0']","{'runs': '0', 'hits': '7', 'errors': '2'}",away,0.0,0.0
0,nan_2012,,,,,,,,,,,,,
0,nan_2012,,,,,,,,,,,,,
0,CHC_2012,Chicago Cubs,"{'home_team': {'team_name': 'Chicago Cubs', 'inning_data': {'1': '0', '2': '0', '3': '0', '4': '1', '5': '0', '6': '0', '7': '0', '8': '0', '9': '0'}, 'other_box_score_data': {'runs': '1', 'hits': '6', 'errors': '1'}}, 'away_team': {'team_name': 'Washington Nationals', 'inning_data': {'1': '0', '2': '0', '3': '0', '4': '0', '5': '0', '6': '0', '7': '0', '8': '1', '9': '1'}, 'other_box_score_data': {'runs': '2', 'hits': '4', 'errors': '1'}}}",CHC20120405,2012,Chicago Cubs,"['0', '0', '0', '1', '0', '0', '0', '0', '0']","{'runs': '1', 'hits': '6', 'errors': '1'}",Washington Nationals,"['0', '0', '0', '0', '0', '0', '0', '1', '1']","{'runs': '2', 'hits': '4', 'errors': '1'}",home,0.0,0.0
0,CHC_2012,Chicago Cubs,"{'home_team': {'team_name': 'Chicago Cubs', 'inning_data': {'1': '1', '2': '0', '3': '0', '4': '3', '5': '0', '6': '0', '7': '0', '8': '0', '9': '0'}, 'other_box_score_data': {'runs': '4', 'hits': '8', 'errors': '0'}}, 'away_team': {'team_name': 'Washington Nationals', 'inning_data': {'1': '0', '2': '0', '3': '0', '4': '2', '5': '0', '6': '0', '7': '0', '8': '5', '9': '0'}, 'other_box_score_data': {'runs': '7', 'hits': '12', 'errors': '0'}}}",CHC20120407,2012,Chicago Cubs,"['1', '0', '0', '3', '0', '0', '0', '0', '0']","{'runs': '4', 'hits': '8', 'errors': '0'}",Washington Nationals,"['0', '0', '0', '2', '0', '0', '0', '5', '0']","{'runs': '7', 'hits': '12', 'errors': '0'}",home,0.0,0.0
0,nan_2012,,,,,,,,,,,,,
0,nan_2012,,,,,,,,,,,,,
0,CHW_2012,Chicago White Sox,"{'home_team': {'team_name': 'Texas Rangers', 'inning_data': {'1': '1', '2': '0', '3': '1', '4': '0', '5': '0', '6': '1', '7': '0', '8': '0', '9': 'X'}, 'other_box_score_data': {'runs': '3', 'hits': '6', 'errors': '0'}}, 'away_team': {'team_name': 'Chicago White Sox', 'inning_data': {'1': '0', '2': '0', '3': '0', '4': '0', '5': '0', '6': '2', '7': '0', '8': '0', '9': '0'}, 'other_box_score_data': {'runs': '2', 'hits': '8', 'errors': '1'}}}",CHW20120406,2012,Texas Rangers,"['1', '0', '1', '0', '0', '1', '0', '0', 'X']","{'runs': '3', 'hits': '6', 'errors': '0'}",Chicago White Sox,"['0', '0', '0', '0', '0', '2', '0', '0', '0']","{'runs': '2', 'hits': '8', 'errors': '1'}",away,0.0,0.0
